Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D97,LED,LED_0402_1005Metric,-44.642125,-12.0355,270,top
D98,LED,LED_0402_1005Metric,-27.348,-34.684,270,top
D99,LED,LED_0402_1005Metric,-25.761,-29.9215,0,top
D100,LED,LED_0402_1005Metric,-44.642125,-15.2105,270,top
D101,LED,LED_0402_1005Metric,-25.761,-31.509,45,top
D102,LED,LED_0402_1005Metric,-45.83275,-16.798,0,top
D103,LED,LED_0402_1005Metric,-25.761,-33.0965,0,top
D104,LED,LED_0402_1005Metric,-47.023375,-15.2105,270,top
D105,LED,LED_0402_1005Metric,-25.761,-34.684,315,top
D106,LED,LED_0402_1005Metric,-47.023375,-12.0355,270,top
D107,LED,LED_0402_1005Metric,-25.761,-36.2715,0,top
D108,LED,LED_0402_1005Metric,-45.83275,-13.623,180,top
D109,LED,LED_0402_1005Metric,-24.174,-31.509,270,top
D110,LED,LED_0402_1005Metric,-41.467125,-10.448,0,top
D111,LED,LED_0402_1005Metric,-24.174,-34.684,90,top
D112,LED,LED_0402_1005Metric,-40.2765,-12.0355,270,top
D113,LED,LED_0402_1005Metric,-20.364,-31.509,270,top
D114,LED,LED_0402_1005Metric,-40.2765,-15.2105,270,top
D115,LED,LED_0402_1005Metric,-20.364,-34.684,90,top
D116,LED,LED_0402_1005Metric,-41.467125,-16.798,0,top
D117,LED,LED_0402_1005Metric,-18.776,-29.9215,0,top
D118,LED,LED_0402_1005Metric,-42.65775,-15.2105,270,top
D119,LED,LED_0402_1005Metric,-18.776,-31.509,135,top
D120,LED,LED_0402_1005Metric,-42.65775,-12.0355,270,top
D121,LED,LED_0402_1005Metric,-41.467125,-13.623,180,top
D122,LED,LED_0402_1005Metric,-18.776,-33.0965,180,top
D123,LED,LED_0402_1005Metric,-18.776,-34.684,225,top
D124,LED,LED_0402_1005Metric,-37.1015,-10.448,0,top
D125,LED,LED_0402_1005Metric,-35.910875,-12.0355,270,top
D126,LED,LED_0402_1005Metric,-18.776,-36.2715,0,top
D127,LED,LED_0402_1005Metric,-35.910875,-15.2105,270,top
D128,LED,LED_0402_1005Metric,-17.188,-31.509,270,top
D129,LED,LED_0402_1005Metric,-37.1015,-16.798,0,top
D130,LED,LED_0402_1005Metric,-17.188,-34.687,270,top
D131,LED,LED_0402_1005Metric,-38.292125,-15.2105,270,top
D132,LED,LED_0402_1005Metric,-15.601,-29.9215,180,top
D133,LED,LED_0402_1005Metric,-38.292125,-12.0355,270,top
D134,LED,LED_0402_1005Metric,-15.601,-31.509,45,top
D135,LED,LED_0402_1005Metric,-37.1015,-13.623,180,top
D136,LED,LED_0402_1005Metric,-15.601,-33.0965,0,top
D137,LED,LED_0402_1005Metric,-15.601,-34.684,315,top
D138,LED,LED_0402_1005Metric,-32.735875,-10.448,0,top
D139,LED,LED_0402_1005Metric,-15.601,-36.2715,0,top
D140,LED,LED_0402_1005Metric,-31.54525,-12.0355,270,top
D141,LED,LED_0402_1005Metric,-31.54525,-15.2105,270,top
D142,LED,LED_0402_1005Metric,-14.014,-31.509,270,top
D143,LED,LED_0402_1005Metric,-32.735875,-16.798,0,top
D144,LED,LED_0402_1005Metric,-14.014,-34.684,90,top
D145,LED,LED_0402_1005Metric,-33.9265,-15.2105,270,top
D146,LED,LED_0402_1005Metric,-54.018,-31.509,270,top
D147,LED,LED_0402_1005Metric,-54.018,-34.684,270,top
D148,LED,LED_0402_1005Metric,-33.9265,-12.0355,270,top
D149,LED,LED_0402_1005Metric,-32.735875,-13.623,0,top
D150,LED,LED_0402_1005Metric,-28.37025,-10.448,0,top
D151,LED,LED_0402_1005Metric,-27.179625,-12.0355,270,top
D152,LED,LED_0402_1005Metric,-27.179625,-15.2105,270,top
D153,LED,LED_0402_1005Metric,-28.37025,-16.798,0,top
D154,LED,LED_0402_1005Metric,-29.560875,-15.2105,270,top
