Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D96,LED,LED_0402_1005Metric,-12.593375,-44.23,0,top
D97,LED,LED_0402_1005Metric,-13.784,-42.6425,270,top
D98,LED,LED_0402_1005Metric,-13.784,-39.4675,270,top
D99,LED,LED_0402_1005Metric,-12.593375,-41.055,0,top
D100,LED,LED_0402_1005Metric,-8.22775,-37.88,0,top
D101,LED,LED_0402_1005Metric,-7.037125,-39.4675,270,top
D102,LED,LED_0402_1005Metric,-7.037125,-42.6425,270,top
D103,LED,LED_0402_1005Metric,-8.22775,-44.23,0,top
D104,LED,LED_0402_1005Metric,-9.418375,-42.6425,270,top
D105,LED,LED_0402_1005Metric,-9.418375,-39.4675,270,top
D106,LED,LED_0402_1005Metric,-8.22775,-41.055,0,top
D107,LED,LED_0402_1005Metric,-3.862125,-37.88,0,top
D108,LED,LED_0402_1005Metric,-2.6715,-39.4675,270,top
D109,LED,LED_0402_1005Metric,-2.6715,-42.6425,270,top
D110,LED,LED_0402_1005Metric,-3.862125,-44.23,0,top
D111,LED,LED_0402_1005Metric,-5.05275,-42.6425,270,top
D112,LED,LED_0402_1005Metric,-5.05275,-39.4675,270,top
D113,LED,LED_0402_1005Metric,-3.862125,-41.055,0,top
D114,LED,LED_0402_1005Metric,0.5035,-37.88,0,top
D115,LED,LED_0402_1005Metric,1.694125,-39.4675,270,top
D116,LED,LED_0402_1005Metric,1.694125,-42.6425,270,top
D117,LED,LED_0402_1005Metric,0.5035,-44.23,0,top
D118,LED,LED_0402_1005Metric,-0.687125,-42.6425,270,top
D119,LED,LED_0402_1005Metric,-0.687125,-39.4675,270,top
D120,LED,LED_0402_1005Metric,0.5035,-41.055,0,top
D121,LED,LED_0402_1005Metric,4.869125,-37.88,0,top
D122,LED,LED_0402_1005Metric,6.05975,-39.4675,270,top
D123,LED,LED_0402_1005Metric,6.05975,-42.6425,270,top
D124,LED,LED_0402_1005Metric,4.869125,-44.23,0,top
D125,LED,LED_0402_1005Metric,3.6785,-42.6425,270,top
D126,LED,LED_0402_1005Metric,3.6785,-39.4675,270,top
D127,LED,LED_0402_1005Metric,4.869125,-41.055,0,top
