Ref,Val,Package,PosX,PosY,Rot,Side
"G***","OH_LOGO_ONLY_11x6mm","OH_LOGO_ONLY_11x6mm",-27.612500,12.563000,180.000000,bottom
"G***","OH_LOGO_ONLY_11x6mm","OH_LOGO_ONLY_11x6mm",-27.612500,-6.387000,180.000000,bottom
